municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Tavernes de la Valldigna,58,46238,Tavernes de la Valldigna,Tavernes de la Valldigna,Tavernes de la Valldigna,Tavernes de la Valldigna,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Teresa,54,12110,Teresa,Teresa,Teresa,Teresa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Teresa de Cofrentes,56,46239,Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Terrateig,58,46240,Terrateig,Terrateig,Terrateig,Terrateig,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Teulada,58,03128,Teulada,Teulada,Teulada,Teulada,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tibi,58,03129,Tibi,Tibi,Tibi,Tibi,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Titaguas,56,46241,Titaguas,Titaguas,Titaguas,Titaguas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Todolella,53,12112,Todolella,Todolella,Todolella,Todolella,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Toga,54,12113,Toga,Toga,Toga,Toga,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tollos,58,03130,Tollos,Tollos,Tollos,Tollos,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tormos,58,03131,Tormos,Tormos,Tormos,Tormos,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Toro, El",54,12115,El Toro,El Toro,El Toro,El Toro,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Torralba del Pinar,54,12116,Torralba del Pinar,Torralba del Pinar,Torralba del Pinar,Torralba del Pinar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Torre d'en Besora, la",53,12119,la Torre d'En Besora,la Torre d'En Besora,la Torre d'En Besora,la Torre d'En Besora,alias,alias_file,El 112CV pospone el artículo y usa en minúscula; el ICV antepone la y capitaliza En.,reviewed,postposed_article;alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
"Torre d'en Doménec, la",55,12120,la Torre d'en Doménec,la Torre d'en Doménec,la Torre d'en Doménec,la Torre d'en Doménec,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Torre de les Maçanes, la/Torremanzanas",58,03132,la Torre de les Maçanes,Torremanzanas,la Torre de les Maçanes,la Torre de les Maçanes/Torremanzanas,alias,alias_file,El 112CV pospone el artículo valenciano; el ICV lo antepone en la forma bilingüe.,reviewed,bilingual;postposed_article;alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Torrebaja,56,46242,Torrebaja,Torrebaja,Torrebaja,Torrebaja,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torreblanca,55,12117,Torreblanca,Torreblanca,Torreblanca,Torreblanca,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torrechiva,54,12118,Torrechiva,Torrechiva,Torrechiva,Torrechiva,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torrella,58,46243,Torrella,Torrella,Torrella,Torrella,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torrent,57,46244,Torrent,Torrent,Torrent,Torrent,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
